TIME	LG1	AP2	MB1	MB2	MB3
20181103-140229	:  0(  0)/10.73/         1	:  0(  0)/9.09/         0	:  1(  0)/56.40/        10	:  0(  0)/59.12/         8	:-(-)/56.26/-
20181103-140234	:  4(  0)/10.73/        22	:  0(  0)/9.09/         0	:  0(  0)/56.40/         9	:  1(  0)/59.11/        14	:  0(  0)/56.28/         9
20181103-140239	:  0(  0)/10.73/         1	:  0(  0)/9.09/         0	:  0(  0)/56.41/        13	:  1(  0)/59.11/         8	:  2(  0)/56.28/         9
20181103-140244	:  0(  0)/10.74/        10	:  0(  0)/9.09/         2	:  1(  0)/56.39/        15	:  1(  0)/59.12/         8	:  1(  0)/56.29/        12
20181103-140249	:  0(  0)/10.74/         0	:  0(  0)/9.09/         0	:  1(  0)/56.40/         5	:  2(  0)/59.12/         9	:  1(  0)/56.28/         5
20181103-140254	:  0(  0)/10.74/         8	:  0(  0)/9.09/         3	:  1(  0)/56.40/         8	:  1(  0)/59.11/         7	:  1(  0)/56.29/        10
20181103-140259	:  0(  0)/10.74/         6	:  0(  0)/9.09/         4	:  1(  0)/56.40/         8	:  1(  0)/59.11/        10	:  0(  0)/56.29/         5
20181103-140304	:  0(  0)/10.75/        58	:  0(  0)/9.09/         5	:  0(  0)/56.40/        14	:  1(  0)/59.11/        35	:  1(  0)/56.29/        14
20181103-140309	:  0(  0)/10.75/         6	:  0(  0)/9.09/         1	:  1(  0)/56.40/        48	:  1(  0)/59.11/        13	:  0(  0)/56.29/        12
20181103-140314	:  0(  0)/10.75/         9	:  0(  0)/9.09/         0	:  0(  0)/56.40/        17	:  1(  0)/59.12/        20	:  1(  0)/56.29/        34
20181103-140319	:  0(  0)/10.75/         0	:  0(  0)/9.09/         0	:  1(  0)/56.40/         5	:  1(  0)/59.12/        15	:  1(  0)/56.29/        13
20181103-140324	:  0(  0)/10.75/         8	:  0(  0)/9.09/        16	:  0(  0)/56.40/         8	:  1(  0)/59.12/         7	:  0(  0)/56.29/         9
20181103-140329	:  0(  0)/10.75/         4	:  0(  0)/9.09/        10	:  1(  0)/56.40/         8	:  1(  0)/59.12/         6	:  1(  0)/56.29/         5
20181103-140334	:  0(  0)/10.74/        21	:  0(  0)/9.10/         0	:  0(  0)/56.41/         8	:  1(  0)/59.12/        14	:  1(  0)/56.28/        18
20181103-140339	:  0(  0)/10.78/         7	:  0(  0)/9.09/         5	:  0(  0)/56.41/         8	:  1(  0)/59.12/         5	:  1(  0)/56.29/         9
20181103-140344	:  0(  0)/10.76/        10	:  0(  0)/9.09/         0	:  1(  0)/56.40/        17	:  1(  0)/59.11/        12	:  1(  0)/56.29/        13
20181103-140349	:  0(  0)/10.76/         0	:  0(  0)/9.09/         0	:  2(  0)/56.40/         5	:  2(  0)/59.11/         9	:  1(  0)/56.29/         4
20181103-140354	:  0(  0)/10.76/         8	:  0(  0)/9.09/         5	:  0(  0)/56.40/         9	:  1(  0)/59.12/         7	:  0(  0)/56.29/         9
20181103-140359	:  0(  0)/10.78/         4	:  0(  0)/9.10/         5	:  0(  0)/56.40/         7	:  1(  0)/59.11/        10	:  1(  0)/56.29/         5
20181103-140404	:  0(  0)/10.76/        13	:  0(  0)/9.10/         0	:  1(  0)/56.40/         9	:  1(  0)/59.12/         7	:  1(  0)/56.29/        12
20181103-140409	:  0(  0)/10.76/         3	:  0(  0)/9.09/         2	:  1(  0)/56.41/        15	:  1(  0)/59.12/        12	:  1(  0)/56.28/         6
20181103-140414	:  0(  0)/10.77/        12	:  0(  0)/9.09/         0	:  1(  0)/56.40/        21	:  1(  0)/59.12/        19	:  1(  0)/56.29/         7
20181103-140419	:  0(  0)/10.76/         0	:  0(  0)/9.09/         0	:  1(  0)/56.41/         5	:  1(  0)/59.11/         6	:  1(  0)/56.29/        15
20181103-140424	:  0(  0)/10.76/        11	:  0(  0)/9.09/         0	:  0(  0)/56.41/         8	:  1(  0)/59.12/         7	:  1(  0)/56.29/         9
20181103-140429	:  0(  0)/10.77/         3	:  0(  0)/9.09/         3	:  1(  0)/56.41/         7	:  1(  0)/59.12/         5	:  1(  0)/56.29/         5
20181103-140434	:  0(  0)/10.76/        15	:  0(  0)/9.10/         0	:  1(  0)/56.41/         7	:  1(  0)/59.12/         8	:  1(  0)/56.28/         8
20181103-140439	:  0(  0)/10.73/         8	:  0(  0)/9.07/         5	:  1(  0)/56.41/         9	:  1(  0)/59.12/         7	:  1(  0)/56.29/         5
20181103-140444	:  0(  0)/10.73/        12	:  0(  0)/9.06/         0	:  1(  0)/56.40/        15	:  1(  0)/59.46/         9	:  0(  0)/56.30/        10
20181103-140449	:  0(  0)/10.73/         3	:  0(  0)/9.06/         0	:  2(  0)/56.41/         8	:  2(  0)/59.12/        14	:  1(  0)/56.29/         5
20181103-140454	:  0(  0)/10.74/        12	:  0(  0)/9.06/         0	:  1(  0)/56.41/         5	:  1(  0)/59.13/         7	:  1(  0)/56.30/        10
20181103-140459	:  0(  0)/10.74/         3	:  0(  0)/9.07/         0	:  1(  0)/56.41/         7	:  1(  0)/59.13/         8	:  0(  0)/56.29/         5
20181103-140504	:  0(  0)/10.74/        12	:  0(  0)/9.07/         2	:  1(  0)/56.41/         6	:  1(  0)/59.13/         6	:  0(  0)/56.30/         8
20181103-140509	:  0(  0)/10.73/         4	:  0(  0)/9.07/         1	:  1(  0)/56.42/        15	:  1(  0)/59.13/        12	:  0(  0)/56.30/         5
20181103-140514	:  0(  0)/10.74/        12	:  0(  0)/9.07/         0	:  1(  0)/56.41/        17	:  1(  0)/59.12/        23	:  1(  0)/56.29/         7
20181103-140519	:  0(  0)/10.75/         3	:  0(  0)/9.07/         0	:  1(  0)/56.41/         5	:  1(  0)/59.12/        10	:  1(  0)/56.29/        17
20181103-140524	:  0(  0)/10.75/        12	:  0(  0)/9.06/         0	:  1(  0)/56.42/         7	:  1(  0)/59.12/         8	:  0(  0)/56.29/         9
20181103-140529	:  0(  0)/10.74/         3	:  0(  0)/9.06/         0	:  1(  0)/56.42/         8	:  1(  0)/59.12/         8	:  1(  0)/56.29/         5
20181103-140534	:  0(  0)/10.73/        13	:  0(  0)/9.07/         0	:  1(  0)/56.42/         6	:  1(  0)/59.12/         9	:  1(  0)/56.29/        14
20181103-140539	:  0(  0)/10.74/         9	:  0(  0)/9.06/         5	:  1(  0)/56.42/         7	:  1(  0)/59.11/         5	:  2(  0)/56.29/         5
