TIME	LG1	AP2	MB1	MB2	MB3
20181103-140229	         1	         0	        10	         8	-
20181103-140234	        22	         0	         9	        14	         9
20181103-140239	         1	         0	        13	         8	         9
20181103-140244	        10	         2	        15	         8	        12
20181103-140249	         0	         0	         5	         9	         5
20181103-140254	         8	         3	         8	         7	        10
20181103-140259	         6	         4	         8	        10	         5
20181103-140304	        58	         5	        14	        35	        14
20181103-140309	         6	         1	        48	        13	        12
20181103-140314	         9	         0	        17	        20	        34
20181103-140319	         0	         0	         5	        15	        13
20181103-140324	         8	        16	         8	         7	         9
20181103-140329	         4	        10	         8	         6	         5
20181103-140334	        21	         0	         8	        14	        18
20181103-140339	         7	         5	         8	         5	         9
20181103-140344	        10	         0	        17	        12	        13
20181103-140349	         0	         0	         5	         9	         4
20181103-140354	         8	         5	         9	         7	         9
20181103-140359	         4	         5	         7	        10	         5
20181103-140404	        13	         0	         9	         7	        12
20181103-140409	         3	         2	        15	        12	         6
20181103-140414	        12	         0	        21	        19	         7
20181103-140419	         0	         0	         5	         6	        15
20181103-140424	        11	         0	         8	         7	         9
20181103-140429	         3	         3	         7	         5	         5
20181103-140434	        15	         0	         7	         8	         8
20181103-140439	         8	         5	         9	         7	         5
20181103-140444	        12	         0	        15	         9	        10
20181103-140449	         3	         0	         8	        14	         5
20181103-140454	        12	         0	         5	         7	        10
20181103-140459	         3	         0	         7	         8	         5
20181103-140504	        12	         2	         6	         6	         8
20181103-140509	         4	         1	        15	        12	         5
20181103-140514	        12	         0	        17	        23	         7
20181103-140519	         3	         0	         5	        10	        17
20181103-140524	        12	         0	         7	         8	         9
20181103-140529	         3	         0	         8	         8	         5
20181103-140534	        13	         0	         6	         9	        14
20181103-140539	         9	         5	         7	         5	         5
20181103-140544	        13	         0	        10	        13	         8
20181103-140549	         3	         0	         8	         9	         7
20181103-140554	        11	         0	         5	         7	         9
20181103-140559	         3	         0	         7	         9	         7
20181103-140604	        13	         0	         6	         6	        12
20181103-140609	         3	         2	        15	        12	         5
20181103-140614	        12	         0	        24	        19	         7
20181103-140619	         4	         0	        10	         8	        15
20181103-140624	        11	         0	         5	         7	        11
20181103-140629	         3	         0	         7	         8	         5
20181103-140634	        11	         0	         6	         6	        10
20181103-140639	         5	         5	         7	         5	         5
20181103-140644	         9	         0	        16	         9	         8
20181103-140649	         0	         0	         8	         6	         5
20181103-140654	         8	         0	         6	        10	         9
20181103-140659	         4	         0	         7	         7	        10
20181103-140704	        13	         2	         6	         5	        17
20181103-140709	         0	         1	        15	        12	         5
20181103-140714	        10	         0	        14	        23	         7
20181103-140719	         0	         0	         7	        10	        15
20181103-140724	         9	         0	         5	         7	         9
20181103-140729	         4	         0	        11	        10	         8
20181103-140734	        12	         0	         6	         5	        17
20181103-140739	         4	         4	         7	         5	         5
20181103-140744	        10	         0	        13	        11	         8
20181103-140749	         0	         0	         5	         9	         5
20181103-140754	         8	         0	         5	         9	         9
20181103-140759	         4	         1	         7	         5	         7
20181103-140804	        11	         0	         9	         7	        10
20181103-140809	         0	         2	        15	        12	         7
20181103-140814	         9	         0	        23	        19	         7
20181103-140819	         0	         0	         5	         5	        15
20181103-140824	         8	         0	         5	         9	         9
20181103-140829	         4	         8	         7	         6	         7
20181103-140834	        11	         0	         6	         5	        10
20181103-140839	         5	         5	        11	         8	         5
20181103-140844	         9	         0	         8	        10	        10
20181103-140849	         0	         0	         5	         6	         5
20181103-140854	         8	         0	         5	         9	        12
20181103-140859	         4	         1	         7	         7	         5
20181103-140904	         9	         2	         6	         5	        17
20181103-140909	         0	         1	        15	        12	         5
20181103-140914	         9	         0	        22	        23	         7
20181103-140919	         0	         0	         5	        10	        18
20181103-140924	         9	         0	         5	         9	         7
20181103-140929	         3	         3	         8	         5	         9
20181103-140934	         9	         0	         7	         5	        15
20181103-140939	         5	         5	         8	         5	         5
20181103-140944	         9	         0	        18	        17	         8
20181103-140949	         0	         0	         5	        16	         8
20181103-140954	         8	         0	         5	         7	         8
20181103-140959	         4	         0	         7	         5	         7
20181103-141004	        11	         0	         7	         7	        10
20181103-141009	         0	         1	        22	        12	         5
20181103-141014	        11	         0	        24	        18	         7
20181103-141019	         0	         0	         6	         9	        17
20181103-141024	         8	         0	         5	         7	        11
20181103-141029	         4	         0	         7	         5	         6
20181103-141034	         9	         0	         6	        15	        10
20181103-141039	         5	         6	        12	         5	         5
20181103-141044	         9	         0	        10	        10	         9
20181103-141049	         0	         0	         5	        10	         4
20181103-141054	        11	         0	         7	         8	        13
20181103-141059	         4	         1	         7	         7	         8
20181103-141104	        12	         0	         6	         6	        16
20181103-141109	         0	         2	        17	        11	         5
20181103-141114	         9	         0	        21	        19	        10
20181103-141119	         0	         0	         5	        21	        16
20181103-141124	         8	         0	         5	         7	        10
20181103-141129	         4	         3	        11	         7	         6
20181103-141134	         9	         0	         6	         6	        16
20181103-141139	         7	         5	         8	         5	         5
20181103-141144	        10	         0	         8	        20	         9
20181103-141149	         0	         0	         5	         8	         7
20181103-141154	         8	         0	         5	         7	         7
20181103-141159	         4	         0	         7	         7	         6
20181103-141204	        10	         2	        10	         5	        10
20181103-141209	         1	         1	        17	        14	         7
20181103-141214	        11	         0	        24	        14	         7
20181103-141219	         0	         0	         5	         8	        17
20181103-141224	         8	         0	         5	        18	         8
20181103-141229	         4	         0	         7	         7	         6
20181103-141234	        11	         0	         7	         5	         5
20181103-141239	         6	         5	        12	         7	         5
20181103-141244	         9	         0	        16	        12	        11
20181103-141249	         0	         0	         5	        11	         7
20181103-141254	         8	         0	         5	        12	         8
20181103-141259	         4	         1	         7	         7	         6
20181103-141304	        10	         0	         7	         5	         5
20181103-141309	         2	         2	        14	        12	        17
20181103-141314	         9	         0	        19	        19	         7
20181103-141319	         0	         0	         5	         6	        21
20181103-141324	         8	         0	         5	        18	         7
20181103-141329	         4	         5	         9	         5	         6
20181103-141334	         9	         0	         8	         5	         7
20181103-141339	         5	         4	         9	         5	        13
20181103-141344	         9	         0	        10	        15	         8
20181103-141349	         0	         0	         5	         5	         9
20181103-141354	         0	         0	         5	        15	         7
20181103-141359	         3	         0	         7	         5	         5
20181103-141404	         1	         2	        10	         5	         6
20181103-141409	         1	         1	        13	        12	        10
20181103-141414	         1	         0	        25	        23	         7
20181103-141419	         9	         0	         6	         6	        19
20181103-141424	         0	         0	         5	         7	         9
20181103-141429	        12	         0	         7	         7	         5
20181103-141434	         3	         0	        10	         5	         6
20181103-141439	        14	         5	         5	         5	         7
20181103-141444	         2	         0	        12	        12	         8
20181103-141449	         8	         0	         5	        12	         8
20181103-141454	         0	         0	         7	        22	         9
20181103-141459	        12	         0	         7	         7	         6
20181103-141504	         1	         0	         8	        10	         6
20181103-141509	        11	         2	        11	        12	        16
20181103-141514	         1	         0	        18	        22	         9
20181103-141519	         9	         0	         5	         5	        16
20181103-141524	         0	         0	         5	         8	         8
20181103-141529	        12	         3	        11	         5	         5
20181103-141534	         2	         0	         9	         7	        11
20181103-141539	        14	         5	         5	         9	         5
20181103-141544	         4	         0	        12	        12	         8
20181103-141549	         8	         0	         5	         5	         6
20181103-141554	         0	         0	         5	        14	         8
20181103-141559	        11	         0	        10	         5	         5
20181103-141604	         1	         2	         7	         5	         6
20181103-141609	        10	         1	        11	        16	        14
20181103-141614	         1	         0	        25	        22	         9
20181103-141619	         9	         0	         5	         5	        16
20181103-141624	         0	         0	         5	         7	         8
20181103-141629	        10	         0	         7	         6	         5
20181103-141634	         1	         0	        11	         9	         6
20181103-141639	        19	         6	         6	         6	         5
20181103-141644	         2	         0	        14	        17	        14
20181103-141649	         8	         0	         5	         5	         5
20181103-141654	         0	         0	         5	        10	         8
20181103-141659	        13	         0	        10	         7	         5
20181103-141704	         3	         1	         7	         7	         6
20181103-141709	         9	         1	        11	        14	         6
20181103-141714	         1	         0	        16	        17	        10
20181103-141719	         8	         0	         5	         5	        18
20181103-141724	         0	         0	         5	        24	         9
20181103-141729	        12	         0	        11	         6	         5
20181103-141734	         5	         3	         7	         5	         8
20181103-141739	        15	         5	         5	         7	        11
20181103-141744	         1	         0	        11	        17	        13
20181103-141749	         9	         0	         5	         5	         7
20181103-141754	         0	         0	         5	         9	         7
20181103-141759	        11	         0	         9	         7	         5
20181103-141804	         1	         1	         7	         6	         6
20181103-141809	         9	         2	        11	        14	        10
20181103-141814	         1	         0	        24	        15	        11
20181103-141819	         8	         0	         8	         5	        14
20181103-141824	         0	         0	         5	        16	         9
20181103-141829	        11	         0	         8	         7	         5
20181103-141834	         1	         3	         6	         5	         5
20181103-141839	        13	         4	         5	         8	         9
20181103-141844	         1	         0	        12	        10	         9
20181103-141849	         8	         0	         5	        11	         4
20181103-141854	         0	         0	         8	        10	         8
20181103-141859	        10	         0	         5	         7	         8
20181103-141904	         0	         2	         8	         6	         5
20181103-141909	        10	         1	        11	        14	         8
20181103-141914	         2	         0	        19	        16	         9
20181103-141919	        11	         0	         5	         5	        17
20181103-141924	         0	         0	         5	        23	         7
20181103-141929	        10	         0	        10	         7	         5
20181103-141934	         0	         0	         8	         6	         8
20181103-141939	        15	         5	         5	         7	        12
20181103-141944	         1	         0	        11	        13	        10
20181103-141949	         8	         0	         5	        17	        12
20181103-141954	         0	         0	         7	         9	         7
20181103-141959	        11	         0	         5	         7	         6
20181103-142004	         0	         1	        10	         6	         6
20181103-142009	        13	         2	        11	        14	        16
20181103-142014	         8	         0	        25	        15	         9
20181103-142019	        10	         0	         5	         5	        13
20181103-142024	         0	         0	         8	        15	         9
20181103-142029	        12	         0	         5	         5	         5
20181103-142034	         0	         3	         8	        11	         5
20181103-142039	        23	         6	         7	         5	         9
20181103-142044	         1	         1	        16	        10	        11
20181103-142049	        11	         0	         5	         5	        12
20181103-142054	         0	         0	         7	        11	         8
20181103-142059	        12	         0	         5	         6	         5
