TIME	CPU	WCPU	IO	MEM
20181103-140229	  0	  0	         1	10.73
20181103-140234	  4	  0	        22	10.73
20181103-140239	  0	  0	         1	10.73
20181103-140244	  0	  0	        10	10.74
20181103-140249	  0	  0	         0	10.74
20181103-140254	  0	  0	         8	10.74
20181103-140259	  0	  0	         6	10.74
20181103-140304	  0	  0	        58	10.75
20181103-140309	  0	  0	         6	10.75
20181103-140314	  0	  0	         9	10.75
20181103-140319	  0	  0	         0	10.75
20181103-140324	  0	  0	         8	10.75
20181103-140329	  0	  0	         4	10.75
20181103-140334	  0	  0	        21	10.74
20181103-140339	  0	  0	         7	10.78
20181103-140344	  0	  0	        10	10.76
20181103-140349	  0	  0	         0	10.76
20181103-140354	  0	  0	         8	10.76
20181103-140359	  0	  0	         4	10.78
20181103-140404	  0	  0	        13	10.76
20181103-140409	  0	  0	         3	10.76
20181103-140414	  0	  0	        12	10.77
20181103-140419	  0	  0	         0	10.76
20181103-140424	  0	  0	        11	10.76
20181103-140429	  0	  0	         3	10.77
20181103-140434	  0	  0	        15	10.76
20181103-140439	  0	  0	         8	10.73
20181103-140444	  0	  0	        12	10.73
20181103-140449	  0	  0	         3	10.73
20181103-140454	  0	  0	        12	10.74
20181103-140459	  0	  0	         3	10.74
20181103-140504	  0	  0	        12	10.74
20181103-140509	  0	  0	         4	10.73
20181103-140514	  0	  0	        12	10.74
20181103-140519	  0	  0	         3	10.75
20181103-140524	  0	  0	        12	10.75
20181103-140529	  0	  0	         3	10.74
20181103-140534	  0	  0	        13	10.73
20181103-140539	  0	  0	         9	10.74
20181103-140544	  0	  0	        13	10.74
20181103-140549	  0	  0	         3	10.75
20181103-140554	  0	  0	        11	10.75
20181103-140559	  0	  0	         3	10.74
20181103-140604	  0	  0	        13	10.77
20181103-140609	  1	  0	         3	10.77
20181103-140614	  0	  0	        12	10.75
20181103-140619	  0	  0	         4	10.75
20181103-140624	  0	  0	        11	10.75
20181103-140629	  0	  0	         3	10.75
20181103-140634	  0	  0	        11	10.73
20181103-140639	  0	  0	         5	10.74
20181103-140644	  0	  0	         9	10.74
20181103-140649	  0	  0	         0	10.74
20181103-140654	  0	  0	         8	10.74
20181103-140659	  0	  0	         4	10.74
20181103-140704	  0	  0	        13	10.78
20181103-140709	  1	  0	         0	10.78
20181103-140714	  0	  0	        10	10.79
20181103-140719	  0	  0	         0	10.79
20181103-140724	  0	  0	         9	10.79
20181103-140729	  0	  0	         4	10.78
20181103-140734	  0	  0	        12	10.78
20181103-140739	  0	  0	         4	10.78
20181103-140744	  0	  0	        10	10.78
20181103-140749	  0	  0	         0	10.78
20181103-140754	  0	  0	         8	10.79
20181103-140759	  0	  0	         4	10.78
20181103-140804	  0	  0	        11	10.79
20181103-140809	  0	  0	         0	10.79
20181103-140814	  0	  0	         9	10.79
