TIME	CPU	WCPU	IO	MEM
20181103-140229	-	-	-	56.26
20181103-140234	  0	  0	         9	56.28
20181103-140239	  2	  0	         9	56.28
20181103-140244	  1	  0	        12	56.29
20181103-140249	  1	  0	         5	56.28
20181103-140254	  1	  0	        10	56.29
20181103-140259	  0	  0	         5	56.29
20181103-140304	  1	  0	        14	56.29
20181103-140309	  0	  0	        12	56.29
20181103-140314	  1	  0	        34	56.29
20181103-140319	  1	  0	        13	56.29
20181103-140324	  0	  0	         9	56.29
20181103-140329	  1	  0	         5	56.29
20181103-140334	  1	  0	        18	56.28
20181103-140339	  1	  0	         9	56.29
20181103-140344	  1	  0	        13	56.29
20181103-140349	  1	  0	         4	56.29
20181103-140354	  0	  0	         9	56.29
20181103-140359	  1	  0	         5	56.29
20181103-140404	  1	  0	        12	56.29
20181103-140409	  1	  0	         6	56.28
20181103-140414	  1	  0	         7	56.29
20181103-140419	  1	  0	        15	56.29
20181103-140424	  1	  0	         9	56.29
20181103-140429	  1	  0	         5	56.29
20181103-140434	  1	  0	         8	56.28
20181103-140439	  1	  0	         5	56.29
20181103-140444	  0	  0	        10	56.30
20181103-140449	  1	  0	         5	56.29
20181103-140454	  1	  0	        10	56.30
20181103-140459	  0	  0	         5	56.29
20181103-140504	  0	  0	         8	56.30
20181103-140509	  0	  0	         5	56.30
20181103-140514	  1	  0	         7	56.29
20181103-140519	  1	  0	        17	56.29
20181103-140524	  0	  0	         9	56.29
20181103-140529	  1	  0	         5	56.29
20181103-140534	  1	  0	        14	56.29
20181103-140539	  2	  0	         5	56.29
20181103-140544	  1	  0	         8	56.29
20181103-140549	  1	  0	         7	56.30
20181103-140554	  1	  0	         9	56.30
20181103-140559	  0	  0	         7	56.29
20181103-140604	  1	  0	        12	56.29
20181103-140609	  0	  0	         5	56.30
20181103-140614	  1	  0	         7	56.29
20181103-140619	  1	  0	        15	56.30
20181103-140624	  1	  0	        11	56.29
20181103-140629	  1	  0	         5	56.29
20181103-140634	  1	  0	        10	56.52
20181103-140639	  1	  0	         5	56.29
20181103-140644	  1	  0	         8	56.30
20181103-140649	  1	  0	         5	56.29
20181103-140654	  1	  0	         9	56.30
20181103-140659	  0	  0	        10	56.29
20181103-140704	  1	  0	        17	56.29
20181103-140709	  0	  0	         5	56.29
20181103-140714	  0	  0	         7	56.29
20181103-140719	  1	  0	        15	56.28
20181103-140724	  1	  0	         9	56.29
20181103-140729	  1	  0	         8	56.29
20181103-140734	  1	  0	        17	56.29
20181103-140739	  1	  0	         5	56.28
20181103-140744	  1	  0	         8	56.29
20181103-140749	  1	  0	         5	56.29
20181103-140754	  1	  0	         9	56.29
20181103-140759	  0	  0	         7	56.29
20181103-140804	  1	  0	        10	56.29
20181103-140809	  1	  0	         7	56.29
20181103-140814	  1	  0	         7	56.29
20181103-140819	  1	  0	        15	56.29
20181103-140824	  1	  0	         9	56.28
20181103-140829	  1	  0	         7	56.29
20181103-140834	  1	  0	        10	56.30
20181103-140839	  1	  0	         5	56.29
20181103-140844	  2	  0	        10	56.29
20181103-140849	  1	  0	         5	56.30
20181103-140854	  0	  0	        12	56.30
20181103-140859	  0	  0	         5	56.29
20181103-140904	  0	  0	        17	56.30
20181103-140909	  0	  0	         5	56.30
20181103-140914	  0	  0	         7	56.30
20181103-140919	  1	  0	        18	56.29
