TIME	LG1	AP2	MB1	MB2	MB3
20181103-140229	10.73	9.09	56.40	59.12	56.26
20181103-140234	10.73	9.09	56.40	59.11	56.28
20181103-140239	10.73	9.09	56.41	59.11	56.28
20181103-140244	10.74	9.09	56.39	59.12	56.29
20181103-140249	10.74	9.09	56.40	59.12	56.28
20181103-140254	10.74	9.09	56.40	59.11	56.29
20181103-140259	10.74	9.09	56.40	59.11	56.29
20181103-140304	10.75	9.09	56.40	59.11	56.29
20181103-140309	10.75	9.09	56.40	59.11	56.29
20181103-140314	10.75	9.09	56.40	59.12	56.29
20181103-140319	10.75	9.09	56.40	59.12	56.29
20181103-140324	10.75	9.09	56.40	59.12	56.29
20181103-140329	10.75	9.09	56.40	59.12	56.29
20181103-140334	10.74	9.10	56.41	59.12	56.28
20181103-140339	10.78	9.09	56.41	59.12	56.29
20181103-140344	10.76	9.09	56.40	59.11	56.29
20181103-140349	10.76	9.09	56.40	59.11	56.29
20181103-140354	10.76	9.09	56.40	59.12	56.29
20181103-140359	10.78	9.10	56.40	59.11	56.29
20181103-140404	10.76	9.10	56.40	59.12	56.29
20181103-140409	10.76	9.09	56.41	59.12	56.28
20181103-140414	10.77	9.09	56.40	59.12	56.29
20181103-140419	10.76	9.09	56.41	59.11	56.29
20181103-140424	10.76	9.09	56.41	59.12	56.29
20181103-140429	10.77	9.09	56.41	59.12	56.29
20181103-140434	10.76	9.10	56.41	59.12	56.28
20181103-140439	10.73	9.07	56.41	59.12	56.29
20181103-140444	10.73	9.06	56.40	59.46	56.30
20181103-140449	10.73	9.06	56.41	59.12	56.29
20181103-140454	10.74	9.06	56.41	59.13	56.30
20181103-140459	10.74	9.07	56.41	59.13	56.29
20181103-140504	10.74	9.07	56.41	59.13	56.30
20181103-140509	10.73	9.07	56.42	59.13	56.30
20181103-140514	10.74	9.07	56.41	59.12	56.29
20181103-140519	10.75	9.07	56.41	59.12	56.29
20181103-140524	10.75	9.06	56.42	59.12	56.29
20181103-140529	10.74	9.06	56.42	59.12	56.29
20181103-140534	10.73	9.07	56.42	59.12	56.29
20181103-140539	10.74	9.06	56.42	59.11	56.29
20181103-140544	10.74	9.07	56.41	59.12	56.29
20181103-140549	10.75	9.07	56.41	59.11	56.30
20181103-140554	10.75	9.07	56.41	59.12	56.30
20181103-140559	10.74	9.07	56.41	59.13	56.29
20181103-140604	10.77	9.07	56.41	59.12	56.29
20181103-140609	10.77	9.07	56.41	59.12	56.30
20181103-140614	10.75	9.07	56.41	59.12	56.29
20181103-140619	10.75	9.06	56.42	59.12	56.30
20181103-140624	10.75	9.06	56.42	59.13	56.29
20181103-140629	10.75	9.06	56.41	59.12	56.29
20181103-140634	10.73	9.06	56.41	59.13	56.52
20181103-140639	10.74	9.06	56.41	59.12	56.29
20181103-140644	10.74	9.06	56.41	59.11	56.30
20181103-140649	10.74	9.07	56.42	59.12	56.29
20181103-140654	10.74	9.07	56.42	59.12	56.30
20181103-140659	10.74	9.07	56.42	59.13	56.29
20181103-140704	10.78	9.07	56.42	59.12	56.29
20181103-140709	10.78	9.07	56.42	59.12	56.29
20181103-140714	10.79	9.07	56.41	59.12	56.29
20181103-140719	10.79	9.07	56.41	59.12	56.28
20181103-140724	10.79	9.07	56.41	59.12	56.29
20181103-140729	10.78	9.06	56.42	59.12	56.29
20181103-140734	10.78	9.07	56.41	59.12	56.29
20181103-140739	10.78	9.06	56.42	59.12	56.28
20181103-140744	10.78	9.06	56.41	59.12	56.29
20181103-140749	10.78	9.06	56.42	59.12	56.29
20181103-140754	10.79	9.06	56.43	59.13	56.29
20181103-140759	10.78	9.07	56.43	59.12	56.29
20181103-140804	10.79	9.07	56.43	59.13	56.29
20181103-140809	10.79	9.06	56.42	59.12	56.29
20181103-140814	10.79	9.07	56.43	59.12	56.29
20181103-140819	10.79	9.07	56.43	59.12	56.29
20181103-140824	10.79	9.07	56.42	59.12	56.28
20181103-140829	10.78	9.06	56.42	59.12	56.29
20181103-140834	10.79	9.07	56.43	59.12	56.30
20181103-140839	10.79	9.07	56.43	59.12	56.29
20181103-140844	10.81	9.07	56.42	59.12	56.29
20181103-140849	10.82	9.07	56.42	59.11	56.30
20181103-140854	10.82	9.07	56.42	59.12	56.30
20181103-140859	10.82	9.07	56.42	59.12	56.29
20181103-140904	10.83	9.07	56.43	59.12	56.30
