TIME	LG1	AP2	MB1	MB2	MB3
20181103-140229	  0	  0	  0	  0	-
20181103-140234	  0	  0	  0	  0	  0
20181103-140239	  0	  0	  0	  0	  0
20181103-140244	  0	  0	  0	  0	  0
20181103-140249	  0	  0	  0	  0	  0
20181103-140254	  0	  0	  0	  0	  0
20181103-140259	  0	  0	  0	  0	  0
20181103-140304	  0	  0	  0	  0	  0
20181103-140309	  0	  0	  0	  0	  0
20181103-140314	  0	  0	  0	  0	  0
20181103-140319	  0	  0	  0	  0	  0
20181103-140324	  0	  0	  0	  0	  0
20181103-140329	  0	  0	  0	  0	  0
20181103-140334	  0	  0	  0	  0	  0
20181103-140339	  0	  0	  0	  0	  0
20181103-140344	  0	  0	  0	  0	  0
20181103-140349	  0	  0	  0	  0	  0
20181103-140354	  0	  0	  0	  0	  0
20181103-140359	  0	  0	  0	  0	  0
20181103-140404	  0	  0	  0	  0	  0
20181103-140409	  0	  0	  0	  0	  0
20181103-140414	  0	  0	  0	  0	  0
20181103-140419	  0	  0	  0	  0	  0
20181103-140424	  0	  0	  0	  0	  0
20181103-140429	  0	  0	  0	  0	  0
20181103-140434	  0	  0	  0	  0	  0
20181103-140439	  0	  0	  0	  0	  0
20181103-140444	  0	  0	  0	  0	  0
20181103-140449	  0	  0	  0	  0	  0
20181103-140454	  0	  0	  0	  0	  0
20181103-140459	  0	  0	  0	  0	  0
20181103-140504	  0	  0	  0	  0	  0
20181103-140509	  0	  0	  0	  0	  0
20181103-140514	  0	  0	  0	  0	  0
20181103-140519	  0	  0	  0	  0	  0
20181103-140524	  0	  0	  0	  0	  0
20181103-140529	  0	  0	  0	  0	  0
20181103-140534	  0	  0	  0	  0	  0
20181103-140539	  0	  0	  0	  0	  0
20181103-140544	  0	  0	  0	  0	  0
20181103-140549	  0	  0	  0	  0	  0
20181103-140554	  0	  0	  0	  0	  0
20181103-140559	  0	  0	  0	  0	  0
20181103-140604	  0	  0	  0	  0	  0
20181103-140609	  0	  0	  0	  0	  0
20181103-140614	  0	  0	  0	  0	  0
20181103-140619	  0	  0	  0	  0	  0
20181103-140624	  0	  0	  0	  0	  0
20181103-140629	  0	  0	  0	  0	  0
20181103-140634	  0	  0	  0	  0	  0
20181103-140639	  0	  0	  0	  0	  0
20181103-140644	  0	  0	  0	  0	  0
20181103-140649	  0	  0	  0	  0	  0
20181103-140654	  0	  0	  0	  0	  0
20181103-140659	  0	  0	  0	  0	  0
20181103-140704	  0	  0	  0	  0	  0
20181103-140709	  0	  0	  0	  0	  0
20181103-140714	  0	  0	  0	  0	  0
20181103-140719	  0	  0	  0	  0	  0
20181103-140724	  0	  0	  0	  0	  0
20181103-140729	  0	  0	  0	  0	  0
20181103-140734	  0	  0	  0	  0	  0
20181103-140739	  0	  0	  0	  0	  0
20181103-140744	  0	  0	  0	  0	  0
20181103-140749	  0	  0	  0	  0	  0
20181103-140754	  0	  0	  0	  0	  0
20181103-140759	  0	  0	  0	  0	  0
20181103-140804	  0	  0	  0	  0	  0
20181103-140809	  0	  0	  0	  0	  0
20181103-140814	  0	  0	  0	  0	  0
20181103-140819	  0	  0	  0	  0	  0
20181103-140824	  0	  0	  0	  0	  0
20181103-140829	  0	  0	  0	  0	  0
20181103-140834	  0	  0	  0	  0	  0
20181103-140839	  0	  0	  0	  0	  0
20181103-140844	  0	  0	  0	  0	  0
20181103-140849	  0	  0	  0	  0	  0
20181103-140854	  0	  0	  0	  0	  0
20181103-140859	  0	  0	  0	  0	  0
20181103-140904	  0	  0	  0	  0	  0
20181103-140909	  0	  0	  0	  0	  0
20181103-140914	  0	  0	  0	  0	  0
20181103-140919	  0	  0	  0	  0	  0
20181103-140924	  0	  0	  0	  0	  0
20181103-140929	  0	  0	  0	  0	  0
20181103-140934	  0	  0	  0	  0	  0
20181103-140939	  0	  0	  0	  0	  0
20181103-140944	  0	  0	  0	  0	  0
20181103-140949	  0	  0	  0	  0	  0
20181103-140954	  0	  0	  0	  0	  0
20181103-140959	  0	  0	  0	  0	  0
20181103-141004	  0	  0	  0	  0	  0
20181103-141009	  0	  0	  0	  0	  0
20181103-141014	  0	  0	  0	  0	  0
20181103-141019	  0	  0	  0	  0	  0
20181103-141024	  0	  0	  0	  0	  0
20181103-141029	  0	  0	  0	  0	  0
20181103-141034	  0	  0	  0	  0	  0
20181103-141039	  0	  0	  0	  0	  0
20181103-141044	  0	  0	  0	  0	  0
20181103-141049	  0	  0	  0	  0	  0
20181103-141054	  0	  0	  0	  0	  0
20181103-141059	  0	  0	  0	  0	  0
20181103-141104	  0	  0	  0	  0	  0
20181103-141109	  0	  0	  0	  0	  0
20181103-141114	  0	  0	  0	  0	  0
20181103-141119	  0	  0	  0	  0	  0
20181103-141124	  0	  0	  0	  0	  0
20181103-141129	  0	  0	  0	  0	  0
20181103-141134	  0	  0	  0	  0	  0
20181103-141139	  0	  0	  0	  0	  0
20181103-141144	  0	  0	  0	  0	  0
20181103-141149	  0	  0	  0	  0	  0
20181103-141154	  0	  0	  0	  0	  0
20181103-141159	  0	  0	  0	  0	  0
20181103-141204	  0	  0	  0	  0	  0
20181103-141209	  0	  0	  0	  0	  0
20181103-141214	  0	  0	  0	  0	  0
20181103-141219	  0	  0	  0	  0	  0
20181103-141224	  0	  0	  0	  0	  0
20181103-141229	  0	  0	  0	  0	  0
20181103-141234	  0	  0	  0	  0	  0
20181103-141239	  0	  0	  0	  0	  0
20181103-141244	  0	  0	  0	  0	  0
20181103-141249	  0	  0	  0	  0	  0
20181103-141254	  0	  0	  0	  0	  0
20181103-141259	  0	  0	  0	  0	  0
20181103-141304	  0	  0	  0	  0	  0
20181103-141309	  0	  0	  0	  0	  0
20181103-141314	  0	  0	  0	  0	  0
20181103-141319	  0	  0	  0	  0	  0
20181103-141324	  0	  0	  0	  0	  0
20181103-141329	  0	  0	  0	  0	  0
20181103-141334	  0	  0	  0	  0	  0
20181103-141339	  0	  0	  0	  0	  0
20181103-141344	  0	  0	  0	  0	  0
20181103-141349	  0	  0	  0	  0	  0
20181103-141354	  0	  0	  0	  0	  0
20181103-141359	  0	  0	  0	  0	  0
20181103-141404	  0	  0	  0	  0	  0
20181103-141409	  0	  0	  0	  0	  0
20181103-141414	  0	  0	  0	  0	  0
20181103-141419	  0	  0	  0	  0	  0
20181103-141424	  0	  0	  0	  0	  0
20181103-141429	  0	  0	  0	  0	  0
20181103-141434	  0	  0	  0	  0	  0
20181103-141439	  0	  0	  0	  0	  0
20181103-141444	  0	  0	  0	  0	  0
20181103-141449	  0	  0	  0	  0	  0
20181103-141454	  0	  0	  0	  0	  0
20181103-141459	  0	  0	  0	  0	  0
20181103-141504	  0	  0	  0	  0	  0
20181103-141509	  0	  0	  0	  0	  0
20181103-141514	  0	  0	  0	  0	  0
20181103-141519	  0	  0	  0	  0	  0
20181103-141524	  0	  0	  0	  0	  0
20181103-141529	  0	  0	  0	  0	  0
20181103-141534	  0	  0	  0	  0	  0
20181103-141539	  0	  0	  0	  0	  0
20181103-141544	  0	  0	  0	  0	  0
20181103-141549	  0	  0	  0	  0	  0
